일자,종목명,종가,대비,등락률,시가,고가,저가,거래량,거래대금,가중평균
2019-09-30,KAU18,"35,100",-3900,-10,0,0,0,0,0,0
2019-09-27,KAU18,"39,000",1000,2.63,"39,000","39,000","39,000",271,"10,569,000","39,000"
2019-09-26,KAU18,"38,000",1000,2.7,"38,000","38,000","38,000","2,528","96,064,000","38,000"
2019-09-25,KAU18,"37,000",1400,3.93,"36,000","37,000","36,000","16,058","582,101,900","36,250"
2019-09-24,KAU18,"35,600",700,2.01,"35,100","35,600","35,100","8,639","304,636,100","35,263"
2019-09-23,KAU18,"34,900",400,1.16,"34,700","34,900","34,700","14,110","490,268,000","34,746"
2019-09-20,KAU18,"34,500",1000,2.99,"34,150","34,500","34,050","1,486","50,849,700","34,219"
2019-09-19,KAU18,"33,500",2200,7.03,"32,000","33,500","32,000","1,788","58,216,000","32,559"
2019-09-18,KAU18,"31,300",300,0.97,"31,300","31,300","31,300",500,"15,650,000","31,300"
2019-09-17,KAU18,"31,000",200,0.65,"31,000","31,000","31,000","7,794","241,614,000","31,000"
2019-09-16,KAU18,"30,800",50,0.16,"30,800","30,800","30,800","9,745","300,146,000","30,800"
2019-09-11,KAU18,"30,750",450,1.49,"30,000","30,750","30,000","39,515","1,176,727,650","29,779"
2019-09-10,KAU18,"30,300",-450,-1.46,"30,700","30,700","30,300","24,120","731,276,000","30,318"
2019-09-09,KAU18,"30,750",450,1.49,"30,500","30,750","30,500","30,880","942,614,750","30,525"
2019-09-06,KAU18,"30,300",200,0.66,"30,100","30,300","30,100","64,222","1,931,663,300","30,078"
2019-09-05,KAU18,"30,100",100,0.33,"30,000","30,100","30,000","128,088","3,844,090,000","30,011"
2019-09-04,KAU18,"30,000",0,0,"30,000","30,000","29,950","91,047","2,731,247,450","29,998"
2019-09-03,KAU18,"30,000",50,0.17,"29,950","30,000","29,950","17,041","510,777,950","29,973"
2019-09-02,KAU18,"29,950",0,0,"29,950","29,950","29,950","32,330","968,283,500","29,950"
2019-08-30,KAU18,"29,950",200,0.67,"29,950","29,950","29,850","42,440","1,267,848,250","29,874"
2019-08-29,KAU18,"29,750",50,0.17,"29,700","29,750","29,700","74,256","2,206,324,700","29,712"
2019-08-28,KAU18,"29,700",0,0,"29,800","29,900","29,700","23,500","700,475,000","29,807"
2019-08-27,KAU18,"29,700",100,0.34,"29,700","29,700","29,600","35,332","1,048,787,500","29,684"
2019-08-26,KAU18,"29,600",100,0.34,"29,500","29,600","29,500","85,979","2,530,005,900","29,426"
2019-08-23,KAU18,"29,500",50,0.17,"29,500","29,500","29,400","176,282","5,096,449,300","28,911"
2019-08-22,KAU18,"29,450",50,0.17,"29,100","29,500","29,100","31,850","938,617,000","29,470"
