시점,광업 전체근로시간 (시간),광업 실질임금총액 (원),제조업 전체근로시간 (시간),제조업 실질임금총액 (원),"전기, 가스, 증기 및 공기 조절 공급업 전체근로시간 (시간)","전기, 가스, 증기 및 공기 조절 공급업 실질임금총액 (원)","수도, 하수 및 폐기물 처리, 원료 재생업 전체근로시간 (시간)","수도, 하수 및 폐기물 처리, 원료 재생 실질임금총액 (원)",건설업 전체근로시간 (시간),건설업 실질임금총액 (원),도매 및 소매업 전체근로시간 (시간),도매 및 소매업 실질임금총액 (원),운수 및 창고업 전체근로시간 (시간),운수 및 창고업 실질임금총액 (원),숙박 및 음식점업 전체근로시간 (시간),숙박 및 음식점업 실질임금총액 (원),정보통신업 전체근로시간 (시간),정보통신업 실질임금총액 (원),금융 및 보험업 전체근로시간 (시간),금융 및 보험업 실질임금총액 (원),부동산업 전체근로시간 (시간),부동산업 실질임금총액 (원),"전문, 과학 및 기술 서비스업 전체근로시간 (시간)","전문, 과학 및 기술 서비스업 실질임금총액 (원)","사업시설 관리, 사업 지원 및 임대 서비스업 전체근로시간 (시간)","사업시설 관리, 사업 지원 및 임대 서비스업 실질임금총액 (원)",교육 서비스업 전체근로시간 (시간),교육 서비스업 실질임금총액 (원),보건업 및 사회복지 서비스업 전체근로시간 (시간),보건업 및 사회복지 서비스업 실질임금총액 (원),"예술, 스포츠 및 여가관련 서비스업 전체근로시간 (시간)","예술, 스포츠 및 여가관련 서비스업 실질임금총액 (원)","협회 및 단체, 수리 및 기타 개인 서비스업 전체근로시간 (시간)","협회 및 단체, 수리 및 기타 개인 서비스업 실질임금총액 (원)"
2020. 05,171,24809.98857,157.4,22786.24976,153.1,35464.34823,168.5,21643.98376,130.3,22664.78156,154.6,20924.27816,150.8,21292.5873,144.1,12751.74286,150.6,29245.50123,149.3,39895.90198,166.4,16227.16419,149.3,30411.92096,152.8,15519.29681,129.5,24683.07464,149.6,19412.30517,144.8,18627.9005,153.2,16150.79038
2020. 04,177.9,22364.64504,169.9,22049.10367,168.8,33606.51004,173,21061.48662,136.1,22166.06176,159.2,20425.35542,152.7,22100.27215,143.8,12891.24342,159.1,28469.80977,157.7,39667.6343,167.6,16423.38183,158.4,28965.39516,157.5,14874.17404,131.6,24292.99995,153.9,18661.10278,142,18624.31878,153.7,15927.01961
2020. 03,189.9,22410.34457,185,20646.00382,162.5,49812.77998,184,20540.97676,144.3,20793.10649,170.8,19724.05926,162.9,19970.90827,150,12186.36515,174.6,27511.23756,173.2,40133.52007,179.3,15422.77291,173.2,27348.56272,169.1,14097.8141,137.8,25329.21059,163.6,17533.31339,151.7,19335.80715,168,15053.43087
2020. 02,176.8,22317.89996,169.8,22044.64612,159.7,35640.18297,171.6,20454.41745,132,22340.61108,159.9,20655.56273,158.1,21622.75337,148.6,12587.09483,160.3,30126.12135,158.4,41231.85731,167.4,16284.63753,158.9,29651.54431,158.4,14855.51148,130.5,25084.3172,154.4,18426.08821,145.9,19069.9473,155.2,15654.99067
2020. 01,169.7,27652.31975,168.3,30265.82671,161.8,36587.11486,169.1,24404.78318,136.6,24318.64031,160.2,24341.82519,159.8,24430.53442,152.4,13259.22156,159.2,32329.85414,157.8,51060.42711,169.5,18208.57394,156.5,35487.28828,159.7,15887.55468,130.6,31362.37876,155.9,20448.06884,150.6,21052.34107,154.4,17843.17689
2019. 12,180.1,22586.29926,178.2,25459.86433,157.6,58813.55925,181.3,22950.54177,137.5,22821.1456,168.1,23146.54685,166.4,24014.53614,156.5,11839.94757,164.9,29104.40314,162.4,44974.74109,179.1,16471.43829,162.7,36853.41674,165.4,15019.59927,140.9,24506.03015,164.7,18902.44191,156.7,21252.7707,161.5,17174.05476
2019. 11,179.3,22077.45988,180.5,19839.77174,173.6,29143.27549,181.5,18426.42654,138.2,20873.39079,169.5,18695.97607,165.8,18926.22469,161.5,11565.76626,167.2,25868.22739,164,33878.31014,178.6,15035.63855,166.1,26711.86758,165.3,13690.1809,143.4,22222.58767,165.2,17550.10441,160.1,16899.85892,161.9,14780.19904
2019. 10,176.6,20644.20292,179.5,21131.10226,158.4,31356.00136,182.2,18580.26903,136,21050.79564,167.8,19171.80583,166.8,20198.9846,159.8,11587.05156,165.5,25212.67187,163.2,33892.75838,178.7,14660.10016,163.7,28516.73819,166,14120.06017,142.7,22313.26221,165,17697.41679,159.7,17406.8707,161.7,15383.34651
2019. 09,162.4,25642.94762,163.4,26455.09112,149.5,71138.70627,166.8,22815.5552,128.5,24526.94574,153.9,23741.96888,155.1,24180.76014,149.7,13150.04835,152,30897.59642,150.5,44687.07864,166.4,17205.44924,149.5,35104.93825,153.9,15664.32178,130.2,28734.91589,150.4,21114.24002,144.1,20702.21631,148.4,18135.37099
2019. 08,171.2,22633.50128,169.3,22573.47141,163.6,31090.6539,176.6,19604.45267,135.3,21430.63933,166,19784.84721,164.8,20826.65863,161.4,11604.13393,164.1,25921.7006,161.4,36263.97012,177,14921.96514,159.9,31309.61125,163.3,14230.87838,144.7,23666.67078,162.6,17974.05809,158.7,17539.47834,160.5,15594.99208
2019. 07,191.5,26018.00155,190,21021.57382,167.2,32372.4946,192.5,18716.6809,144.9,20507.03969,179.1,18551.49929,175.6,22122.29733,166.8,11400.57033,180.4,24164.04794,178.5,32533.42108,188.4,16887.34721,178.4,27237.49464,176,13179.72503,159.8,24707.03844,175.6,17055.98291,167.9,16930.8341,172,14709.14934
2019. 06,169.4,23043.51938,169,21991.20744,159.8,50759.22805,172.2,19706.03543,131.1,22538.01368,157.1,20448.99308,157.6,21760.18191,155.1,12089.64072,153.4,28049.3291,150.6,36337.30749,168.8,16030.18964,150.6,31243.45148,154.2,15026.21756,132.7,25210.52958,152.8,19124.14162,149.1,18415.76171,153.2,16373.16972
2019. 05,182,21312.10569,182.1,19622.87299,160.9,31568.81535,181.8,18130.29364,138.3,20729.52849,170,18573.61855,168.8,19385.43525,160.5,11469.92781,168,25522.32364,165.8,34107.76014,181,14670.11831,166.3,27165.58856,166.6,13760.72044,146,23377.65561,167.5,17329.17119,161.5,16326.93538,164.7,14555.58361
2019. 04,184.9,19548.99308,188.1,19765.02599,166.7,30019.74368,187.8,17671.22377,143.8,19948.96629,174.6,18588.00093,171.5,19546.01525,163.8,11305.35366,175.4,24883.15154,173.4,35028.89918,183.4,14457.78947,173.1,26726.46889,170.2,13383.46134,150.9,20815.40105,171.7,16896.29983,163.7,16487.45136,167.4,14508.40495
2019. 03,176.1,22218.1138,174.9,21855.44267,154.3,52779.35503,177.8,18672.574,135.7,21559.27017,163.3,20688.21808,163.2,19922.92274,158.4,11756.15223,160.9,28699.6785,158.3,42434.75131,175.5,15316.62746,158.5,29699.49388,160.1,14296.16296,137.9,23910.50693,159.7,18181.77775,153.4,17729.24949,158.5,15505.31379
2019. 02,149.3,25328.32327,149.9,29310.83088,150.3,38797.38049,155.1,22725.0735,118.9,24505.76651,141.4,25112.09589,144.2,24275.1825,143.3,13262.39676,138.5,32893.58263,136.8,53312.00539,154.2,17477.50823,135.6,38021.13969,139.9,16966.66444,123.3,29645.09003,138.8,21240.26473,133.5,20632.04996,138.8,18439.34536
2019. 01,186,22640.46327,186.5,27895.2683,162.2,35459.53856,187.4,19612.59589,146.6,21655.24691,175.4,20559.95653,171.7,20784.34113,166.8,11825.85544,175.9,29128.76088,173.1,42010.36076,185.7,15632.9342,171.9,30226.63112,171.2,14270.25488,152.8,27546.27772,171.4,18079.32064,164,18410.38675,170.5,15441.22139
2018. 12,176.4,22319.54156,173.8,27148.93595,161.8,60208.4879,176.9,22887.63759,135.9,22189.62895,163.1,22402.30297,163.7,23536.94773,158.9,11332.96525,157.9,28641.96562,157,45421.37128,177,15981.11304,155.5,37236.26509,160.8,14649.08833,137,24650.55854,160,18658.4485,155.7,20704.15028,160.7,17103.32837
2018. 11,187.7,20446.34051,188.3,18414.18224,176.8,29549.84482,186.2,16879.34294,145.8,18829.67736,175.2,17322.22328,173.6,17434.98259,164.3,10669.01741,174.6,23892.87724,171.5,31564.01535,185.9,13504.21682,173.7,24861.22768,171.5,12493.44368,150.1,20767.14118,172,16052.22432,165,15834.1189,169.5,13387.07393
2018. 10,183.9,18982.91304,182.1,20055.11074,142.4,34047.51524,183.7,17155.87301,140.8,19295.80321,167,18080.53309,169.9,19161.23159,162.8,10741.59103,164.5,24485.12219,163.5,30951.02262,181.6,13747.07295,163.6,26792.99409,165.9,13134.16291,144.1,21701.42164,165.9,16528.32887,159.9,16387.40249,163.8,14082.54728
2018. 09,155.7,27155.02913,155.8,26991.27355,161.7,62338.41022,159.9,22642.06236,123.9,23970.33468,144.8,24248.84789,151.5,23717.48535,148.6,12309.27698,138.6,32947.42429,136,48515.27389,161.2,17069.2249,137.2,35559.72205,145.6,15985.79091,119,30775.3646,141.9,21340.30094,140.4,20830.63097,142.8,17714.10812
2018. 08,176.4,20053.79075,177.7,20566.59652,168.2,29700.34672,182.2,17628.34213,140,19284.9315,171.4,18173.91921,171.3,19164.81717,164.1,10659.10712,170.1,24667.53793,169.1,33253.6117,183.6,13551.12948,166.6,29660.63062,169.9,12747.95421,153.9,21628.65587,167.7,16300.30746,164.7,15875.97742,167,14391.23924
2018. 07,184.1,25784.35793,184.6,21219.65763,165.5,32733.4449,187.6,17794.6303,143,19669.6994,173.7,19048.27556,173.7,21394.99703,163.4,10967.59908,172.3,24588.2262,172.1,34923.15442,185.3,15597.85748,170.1,28093.44264,171.1,12911.5443,159,24406.34328,171,16647.04497,165.4,16133.89665,170.5,14367.94878
2018. 06,177.2,21395.12842,172.7,21292.11336,158.5,50700.06994,174.9,18741.30706,133.7,21035.48955,158.8,19584.44726,161.2,20785.60363,158,11183.17953,151.9,27270.44414,151.1,35112.71701,173.4,14807.8278,151.9,30722.32832,156.3,14105.10886,132.7,24534.88367,155.5,17811.36096,152.7,16932.86687,157.3,15335.07341
2018. 05,178.5,21681.11771,178.3,19506.80327,161.6,31431.1159,177.6,17684.35797,137,19799.23781,165,18284.40499,166.3,19131.70877,160.8,10816.95228,159.1,26345.81033,159.2,35156.85983,178.7,14157.00525,159.1,27407.42249,162.4,13317.01973,138.7,24011.35638,162.5,16882.35034,159.3,16120.97304,161.8,13998.62435
2018. 04,179.4,19430.88787,182.6,19802.93655,167.9,30036.13693,180.1,17214.68573,142.7,19037.78866,169.5,18195.30426,168.9,19084.6484,161.2,10835.93541,166.6,24750.78032,166.5,34422.04979,182.3,13723.60052,166.2,26886.03993,166.8,13056.29239,143.4,21673.92579,166.6,16794.84906,161.6,16011.103,165,14106.39126
